Text,language
आजको मौसम राम्रो छ।,Nepali
म स्कूल जान्छु।,Nepali
उनीहरू फुटबल खेलिरहेका छन्।,Nepali
नेपाल सुन्दर देश हो।,Nepali
मलाई किताब पढ्न मन पर्छ।,Nepali
हामी बजार जाँदैछौं।,Nepali
आज सोमवार हो।,Nepali
उसले मिठो खाना पकाइन्।,Nepali
सूर्य पूर्वबाट उदाउँछ।,Nepali
बालेन साह काठमाडौंका मेयर हुन्।,Nepali
आजको मौसम राम्रो छ।,Nepali
म स्कूल जान्छु।,Nepali
उनीहरू फुटबल खेलिरहेका छन्।,Nepali
नेपाल सुन्दर देश हो।,Nepali
मलाई किताब पढ्न मन पर्छ।,Nepali
हामी बजार जाँदैछौं।,Nepali
आज सोमवार हो।,Nepali
उसले मिठो खाना पकाइन्।,Nepali
सूर्य पूर्वबाट उदाउँछ।,Nepali
बालेन साह काठमाडौंका मेयर हुन्।,Nepali
आजको मौसम राम्रो छ।,Nepali
म स्कूल जान्छु।,Nepali
उनीहरू फुटबल खेलिरहेका छन्।,Nepali
नेपाल सुन्दर देश हो।,Nepali
मलाई किताब पढ्न मन पर्छ।,Nepali
हामी बजार जाँदैछौं।,Nepali
आज सोमवार हो।,Nepali
उसले मिठो खाना पकाइन्।,Nepali
सूर्य पूर्वबाट उदाउँछ।,Nepali
बालेन साह काठमाडौंका मेयर हुन्।,Nepali
आजको मौसम राम्रो छ।,Nepali
म स्कूल जान्छु।,Nepali
उनीहरू फुटबल खेलिरहेका छन्।,Nepali
नेपाल सुन्दर देश हो।,Nepali
मलाई किताब पढ्न मन पर्छ।,Nepali
हामी बजार जाँदैछौं।,Nepali
आज सोमवार हो।,Nepali
उसले मिठो खाना पकाइन्।,Nepali
सूर्य पूर्वबाट उदाउँछ।,Nepali
बालेन साह काठमाडौंका मेयर हुन्।,Nepali
आजको मौसम राम्रो छ।,Nepali
म स्कूल जान्छु।,Nepali
उनीहरू फुटबल खेलिरहेका छन्।,Nepali
नेपाल सुन्दर देश हो।,Nepali
मलाई किताब पढ्न मन पर्छ।,Nepali
हामी बजार जाँदैछौं।,Nepali
आज सोमवार हो।,Nepali
उसले मिठो खाना पकाइन्।,Nepali
सूर्य पूर्वबाट उदाउँछ।,Nepali
बालेन साह काठमाडौंका मेयर हुन्।,Nepali
आजको मौसम राम्रो छ।,Nepali
म स्कूल जान्छु।,Nepali
उनीहरू फुटबल खेलिरहेका छन्।,Nepali
नेपाल सुन्दर देश हो।,Nepali
मलाई किताब पढ्न मन पर्छ।,Nepali
हामी बजार जाँदैछौं।,Nepali
आज सोमवार हो।,Nepali
उसले मिठो खाना पकाइन्।,Nepali
सूर्य पूर्वबाट उदाउँछ।,Nepali
बालेन साह काठमाडौंका मेयर हुन्।,Nepali
आजको मौसम राम्रो छ।,Nepali
म स्कूल जान्छु।,Nepali
उनीहरू फुटबल खेलिरहेका छन्।,Nepali
नेपाल सुन्दर देश हो।,Nepali
मलाई किताब पढ्न मन पर्छ।,Nepali
हामी बजार जाँदैछौं।,Nepali
आज सोमवार हो।,Nepali
उसले मिठो खाना पकाइन्।,Nepali
सूर्य पूर्वबाट उदाउँछ।,Nepali
बालेन साह काठमाडौंका मेयर हुन्।,Nepali
आजको मौसम राम्रो छ।,Nepali
म स्कूल जान्छु।,Nepali
उनीहरू फुटबल खेलिरहेका छन्।,Nepali
नेपाल सुन्दर देश हो।,Nepali
मलाई किताब पढ्न मन पर्छ।,Nepali
हामी बजार जाँदैछौं।,Nepali
आज सोमवार हो।,Nepali
उसले मिठो खाना पकाइन्।,Nepali
सूर्य पूर्वबाट उदाउँछ।,Nepali
बालेन साह काठमाडौंका मेयर हुन्।,Nepali
आजको मौसम राम्रो छ।,Nepali
म स्कूल जान्छु।,Nepali
उनीहरू फुटबल खेलिरहेका छन्।,Nepali
नेपाल सुन्दर देश हो।,Nepali
मलाई किताब पढ्न मन पर्छ।,Nepali
हामी बजार जाँदैछौं।,Nepali
आज सोमवार हो।,Nepali
उसले मिठो खाना पकाइन्।,Nepali
सूर्य पूर्वबाट उदाउँछ।,Nepali
बालेन साह काठमाडौंका मेयर हुन्।,Nepali
आजको मौसम राम्रो छ।,Nepali
म स्कूल जान्छु।,Nepali
उनीहरू फुटबल खेलिरहेका छन्।,Nepali
नेपाल सुन्दर देश हो।,Nepali
मलाई किताब पढ्न मन पर्छ।,Nepali
हामी बजार जाँदैछौं।,Nepali
आज सोमवार हो।,Nepali
उसले मिठो खाना पकाइन्।,Nepali
सूर्य पूर्वबाट उदाउँछ।,Nepali
बालेन साह काठमाडौंका मेयर हुन्।,Nepali
आजको मौसम राम्रो छ।,Nepali
म स्कूल जान्छु।,Nepali
उनीहरू फुटबल खेलिरहेका छन्।,Nepali
नेपाल सुन्दर देश हो।,Nepali
मलाई किताब पढ्न मन पर्छ।,Nepali
हामी बजार जाँदैछौं।,Nepali
आज सोमवार हो।,Nepali
उसले मिठो खाना पकाइन्।,Nepali
सूर्य पूर्वबाट उदाउँछ।,Nepali
बालेन साह काठमाडौंका मेयर हुन्।,Nepali
आजको मौसम राम्रो छ।,Nepali
म स्कूल जान्छु।,Nepali
उनीहरू फुटबल खेलिरहेका छन्।,Nepali
